n_harmonics,n_params,rmse_train,rmse_test,r2_train,r2_test,aic,bic
1,3,1.178835138685401,1.178835138685401,0.43619131784748033,0.43619131784748033,9680.17468153259,9705.04093139257
2,5,0.8397446750021481,0.8397446750021481,0.7138985025782241,0.7138985025782241,-10259.854630798718,-10218.410881032085
3,7,0.6988998014943396,0.6988998014943396,0.8018219969244144,0.8018219969244144,-21050.97608046619,-20992.954830792904
4,9,0.62317444947953,0.62317444947953,0.8424403921885328,0.8424403921885328,-27790.212509530484,-27715.613759950542
5,11,0.5734050357535216,0.5734050357535216,0.8666022147913213,0.8666022147913213,-32680.381066134054,-32589.20481664746
6,13,0.5375597038911389,0.5375597038911389,0.8827591318127405,0.8827591318127405,-36472.068350758,-36364.31460136476
