trial,tropical_year,correction_period,amplitude,coupling_strength,top3_error,bounded_90deg,bounded_strict,dynamically_bounded,both_strict
0,365.26702570765053,294.4639878836228,30.588171619591506,25.12847140437581,0.03979549666621832,True,False,True,False
1,365.23527678494145,294.1973169683941,14.677862176888638,20.62209107714862,0.04849168768865064,True,True,True,True
2,365.23048233126383,293.1161672243364,19.586253576640132,20.07828754274641,0.049805044273373074,True,False,True,False
3,365.23048315215254,294.7323522915499,19.585413179456324,20.078378197125645,0.04980481940235376,True,False,True,False
4,365.3211506407754,293.0411689885916,81.24514333830696,40.04182336065746,0.02497388770219031,True,False,True,False
5,365.2805617364576,294.939819704324,43.2568367635302,27.70975852902111,0.036088369335758576,True,False,True,False
6,365.21871628070323,293.3636499344142,31.631941703937834,18.857857340012238,0.05302829382838841,True,False,True,False
7,365.2693180021793,293.36680901970686,32.733577060492856,25.53125168199207,0.03916768407814995,True,False,True,False
8,365.2542881135783,293.86389003728425,18.666819229273084,23.1031148736001,0.04328420671719461,True,False,True,False
9,365.1465259877671,293.5824582803961,105.53867269280232,13.73456511965491,0.07280900350961572,False,False,True,False
10,365.19154844398327,293.5842892970704,59.44558941752702,16.536694414750453,0.060471577627268534,True,False,True,False
11,365.25790236662976,293.7327236865874,22.04946225485949,23.643864050423126,0.04229427126917117,True,False,True,False
12,365.3154724384461,293.3993475643167,75.9307289286502,37.69516057183578,0.026528604330900703,True,False,True,False
13,365.23090118497566,294.0284688768272,19.157445801665762,20.12464996360261,0.04969030526287898,True,False,True,False
14,365.2149708637737,294.2150897038029,35.46638098563071,18.49989006241809,0.054054375276070786,True,False,True,False
15,365.2477361294855,293.3410482473746,12.534710040794716,22.18336201569638,0.045078829768563734,True,True,True,True
16,365.21215806550407,294.3684660530243,38.34603702668998,18.239862869592297,0.054824973583935295,True,False,True,False
17,365.2276053125103,293.8803049874792,22.53164585343469,19.765513917377707,0.05059316970862097,True,False,True,False
18,365.2415151387631,293.0687770422304,8.291265367437898,21.375353709459816,0.046782851577208885,True,True,True,True
19,365.1893044535522,294.81864080415755,61.742930044061424,16.370249892684686,0.06108642241599906,True,False,True,False
20,365.28331724560513,293.6234221521788,45.835783383962756,28.301554149283334,0.035333748624731355,True,False,True,False
21,365.1811478175014,294.04013604235564,70.09349786282428,15.79245601709501,0.06332137312382068,True,False,True,False
22,365.17578069755507,294.9391692555291,75.58823491594994,15.433994719691405,0.06479203979020115,True,False,True,False
23,365.25203306179344,294.5502656467222,16.556278176526583,22.778072983021353,0.04390187004604799,True,False,True,False
24,365.27911332899976,293.1769850041038,41.90123846883103,27.408499127067135,0.036485033177626816,True,False,True,False
25,365.2507584140595,293.3919657248383,15.363314374827095,22.598358307186405,0.04425100205982637,True,False,True,False
26,365.23640758588056,293.77735457937894,13.52018914174355,20.75466898320361,0.048181929608671785,True,True,True,True
27,365.22713481522055,293.5426980635478,23.01332489248739,19.715288332678565,0.0507220580863875,True,False,True,False
28,365.219158061452,293.56186901937474,31.17966078156131,18.900995388676055,0.05290726649238373,True,False,True,False
29,365.29504611131097,294.0853921663165,56.81312848793776,31.13148467886409,0.03212182169644238,True,False,True,False
30,365.2583941984697,293.14910128735954,22.509776570752447,23.71941195956427,0.04215956119421311,True,False,True,False
31,365.22293588597915,294.973773873201,27.31204744746014,19.278100454318867,0.05187233059447879,True,False,True,False
32,365.2083438999847,293.0110442342472,42.2508649876123,17.89871681971347,0.05586992688205502,True,False,True,False
33,365.272773814442,294.63092285690965,35.96794498870764,26.16347489800509,0.03822122267391354,True,False,True,False
34,365.2937399761248,294.5425406933719,55.59068155702096,30.788656937311327,0.03247949405640189,True,False,True,False
35,365.2887540059558,293.14808930346817,50.92418220108773,29.546569370260205,0.03384487679326114,True,False,True,False
36,365.2002291238389,294.7262068517512,50.55854042654463,17.213725838444205,0.058093175724145324,True,False,True,False
37,365.2267293812074,294.2465962536551,23.428394416148954,19.672212449338375,0.05083312324809874,True,False,True,False
38,365.21823128810775,293.62196464343134,32.12846157931249,18.810725890339246,0.053161159533645475,True,False,True,False
39,365.2329070511668,293.6503666440535,17.103910763015307,20.349676456146376,0.04914083042818904,True,False,True,False
40,365.28281629111973,294.7744254851527,45.36692801745704,28.192092986666182,0.03547093862356949,True,False,True,False
41,365.31000200142853,293.9444298503239,70.8107761678947,35.68054259982185,0.028026479619875314,True,False,True,False
42,365.2602718012524,294.5215700972338,24.267059514455767,24.012313914701092,0.041645299305693675,True,False,True,False
43,365.20993401226974,294.122554395139,40.622955421892286,18.03937701472476,0.05543428684836197,True,False,True,False
44,365.2403986980445,294.045465658764,9.43423555557315,21.23653215701834,0.047088667424898555,True,True,True,True
45,365.3204221827907,293.8550820367171,80.56335536269295,39.72456578004071,0.025173339981539634,True,False,True,False
46,365.2465423534119,293.62871196215264,11.417436579697213,22.02360926395437,0.045405818275058185,True,True,True,True
47,365.2272396324767,294.0171413823294,22.906016564703652,19.726455474784068,0.05069334434046096,True,False,True,False
48,365.23120640560813,293.82076584607125,18.84497162403275,20.158569491909162,0.04960669458224006,True,False,True,False
49,365.2600456285756,294.5111022770861,24.055380305611106,23.97664899157798,0.04170724609394996,True,False,True,False
50,365.2017653198553,294.85939530468517,48.98582572052466,17.33935014777922,0.057672288262087916,True,False,True,False
51,365.21710214782075,294.61624075912886,33.28443943571558,18.701903321381895,0.053470493500878034,True,False,True,False
52,365.2879601058851,294.60734415379824,50.181150996959076,29.357982818944233,0.03406228575604711,True,False,True,False
