harmonic_index,frequency_hz,period_years,amplitude_deg,phase_rad
1,6.802721088435374e-05,14700.0,1.4663602913192348,-4.65234537475023
2,3.401360544217687e-05,29400.0,1.1700266364703857,-0.5591870865172096
3,0.00010204081632653062,9800.0,-0.6583466970216592,1.4916493925515193
4,0.00013605442176870748,7350.0,0.44746963690031005,1.1669324314573084
5,0.00017006802721088434,5880.0,-0.34511754388494853,0.8184130160396463
6,0.00020408163265306123,4900.0,0.28221587377231694,0.44765778770233494
