frequency,period,power,power_pct,is_294_multiple,n_value,n_rounded,precession_fraction,coupling_error_pct,frequency_band,cumulative_power_pct
6.802721088435374e-05,14700.0,21546.242761969657,6.981076786361952,True,50.0,50.0,4/7,0.18236846189663378,long,6.981076786361952
3.401360544217687e-05,29400.0,17213.323152839625,5.577191903292668,True,100.0,100.0,8/7,0.18236846189663378,long,12.558268689654621
0.00010204081632653062,9800.0,9672.118109599613,3.133808523175869,False,33.333333333333336,33.0,3/8,1.4020383879145326,medium,15.69207721283049
0.00013605442176870748,7350.0,6573.3212052965055,2.1297847881205834,True,25.0,25.0,2/7,0.18236846189663378,medium,17.821862000951075
0.00017006802721088434,5880.0,5069.580702841255,1.6425662957655403,True,20.0,20.0,none,,medium,19.464428296716616
0.00020408163265306123,4900.0,4145.471682324977,1.343150935859695,False,16.666666666666668,17.0,none,,medium,20.80757923257631
0.24149659863945577,4.140845070422535,4065.263215727255,1.3171630422663223,True,0.01408450704225352,0.0,none,,short,22.12474227484263
0.0002380952380952381,4200.0,3514.6330577759163,1.1387564654904507,False,14.285714285714286,14.0,none,,medium,23.263498740333084
0.00027210884353741496,3675.0,3054.0468716475866,0.9895245289704181,False,12.5,12.0,none,,medium,24.2530232693035
0.0003061224489795918,3266.666666666667,2702.071940715175,0.8754831136360173,False,11.111111111111112,11.0,1/8,1.402038387914542,medium,25.12850638293952
0.0003401360544217687,2940.0,2423.771200875572,0.785312458084376,True,10.0,10.0,none,,medium,25.913818841023897
0.00037414965986394555,2672.727272727273,2198.1699766977013,0.712216675841412,False,9.090909090909092,9.0,none,,medium,26.626035516865308
0.00040816326530612246,2450.0,2011.3689609624516,0.6516923306446734,False,8.333333333333334,8.0,none,,medium,27.277727847509983
0.0004421768707482993,2261.5384615384614,1854.15017200293,0.6007527561624576,False,7.692307692307692,8.0,none,,medium,27.87848060367244
0.0004761904761904762,2100.0,1719.8461516112648,0.5572376668065431,False,7.142857142857143,7.0,none,,medium,28.435718270478983
0.48639455782312924,2.055944055944056,1633.2760419844192,0.5291885730789119,True,0.006993006993006993,0.0,none,,short,28.964906843557895
0.000510204081632653,1960.0000000000002,1604.2985858664888,0.5197997506996447,False,6.666666666666668,7.0,none,,medium,29.48470659425754
0.27210884353741494,3.6750000000000003,1535.579660051811,0.49753451851562186,True,0.0125,0.0,none,,short,29.98224111277316
0.24489795918367346,4.083333333333333,1516.0819181761865,0.4912171649659509,True,0.013888888888888888,0.0,none,,short,30.473458277739113
0.0005442176870748299,1837.5,1516.0449214044968,0.49120517785029144,False,6.25,6.0,none,,medium,30.964663455589402
0.0005782312925170068,1729.4117647058822,1408.5872969722,0.456388438072069,False,5.88235294117647,6.0,none,,medium,31.42105189366147
0.0006122448979591836,1633.3333333333335,1332.1580257414982,0.4316250202882049,False,5.555555555555556,6.0,none,,medium,31.852676913949676
0.48299319727891155,2.0704225352112675,1313.7688731263127,0.4256668545021342,True,0.00704225352112676,0.0,none,,short,32.27834376845181
0.0006462585034013606,1547.3684210526314,1261.8954056030047,0.4088596243991554,False,5.263157894736842,5.0,none,,medium,32.68720339285097
0.0006802721088435374,1470.0,1198.5104428519073,0.38832261955081443,True,5.0,5.0,none,,medium,33.07552601240178
0.030612244897959183,32.666666666666664,1173.2615326355137,0.38014186233296116,False,0.1111111111111111,0.0,none,,short,33.45566787473474
0.0007142857142857143,1400.0,1141.1836312892358,0.36974848215444694,False,4.761904761904762,5.0,none,,medium,33.82541635688919
0.0007482993197278911,1336.3636363636365,1089.0866963929595,0.3528688476463395,False,4.545454545454546,5.0,none,,medium,34.178285204535534
0.000782312925170068,1278.2608695652175,1041.4945382772546,0.33744878049565996,False,4.347826086956522,4.0,none,,medium,34.5157339850312
0.0008163265306122449,1225.0,997.9346826133566,0.32333519695573715,False,4.166666666666667,4.0,none,,medium,34.839069181986936
0.0008503401360544217,1176.0,957.822835061236,0.31033878310772944,True,4.0,4.0,none,,medium,35.14940796509467
0.0008843537414965987,1130.7692307692307,921.1303676790219,0.2984502633734005,False,3.846153846153846,4.0,none,,medium,35.44785822846807
0.21088435374149658,4.741935483870968,897.2153152415432,0.2907016819032895,True,0.016129032258064516,0.0,none,,short,35.73855991037136
0.0009183673469387755,1088.888888888889,886.6407368179097,0.28727547229568723,False,3.7037037037037037,4.0,none,,medium,36.02583538266705
0.23809523809523808,4.2,868.7426144734261,0.28147640246254296,True,0.014285714285714287,0.0,none,,short,36.30731178512959
0.0009523809523809524,1050.0,854.9268363876398,0.27700003000421125,False,3.5714285714285716,4.0,none,,medium,36.5843118151338
0.0009863945578231293,1013.7931034482758,825.4969151309301,0.26746460694324437,False,3.4482758620689653,3.0,none,,medium,36.851776422077045
0.001020408163265306,980.0000000000001,797.8631963847623,0.2585111613429641,False,3.333333333333334,3.0,none,,short,37.11028758342001
0.001054421768707483,948.3870967741937,772.299875894017,0.2502285338226215,False,3.2258064516129035,3.0,none,,short,37.36051611724263
0.0010884353741496598,918.75,747.7044842546757,0.24225951947883295,False,3.125,3.0,none,,short,37.60277563672147
0.0011224489795918367,890.9090909090909,724.8104867925255,0.23484176428152562,True,3.0303030303030303,3.0,none,,short,37.837617401002994
0.0011564625850340137,864.7058823529411,703.5433007058482,0.2279511030771045,False,2.941176470588235,3.0,none,,short,38.0655685040801
0.0011904761904761904,840.0000000000001,683.4291619065797,0.22143403423125074,False,2.8571428571428577,3.0,none,,short,38.28700253831135
0.0012244897959183673,816.6666666666667,664.4336346263509,0.21527940040456922,False,2.777777777777778,3.0,none,,short,38.50228193871592
