amplitude,mean,std,drift_rate,eff_trop_year,success,start_year
1.8390487076968611,-0.9446692071111368,0.5582078883804579,0.3813883124816488,365.24232081911265,True,-5000.0
1.699475185746337,-0.7683056437804658,0.5179575846743648,0.3524438350392815,365.24232081911265,True,-4500.0
1.526702221836274,-0.6072304638582752,0.46744100927313503,0.31602765876198646,365.24232081911265,True,-4000.0
1.3302528141221714,-0.46488865569788895,0.4078041263129812,0.27281544094218263,365.24232081911265,True,-3500.0
1.108568072372303,-0.34446409598385735,0.34105394024656166,0.22390378599607114,365.24232081911265,True,-3000.0
0.9064272136198028,-0.2482514063538467,0.2711895894230267,0.17153879350431558,365.24232081911265,True,-2500.0
0.7075382525733389,-0.17692692863873438,0.2019100471086441,0.11743382075407711,365.24232081911265,True,-2000.0
0.5369560982817447,-0.13117067889810458,0.13974834081152368,0.06282851561160205,365.24232081911265,True,-1500.0
0.377923346422459,-0.11108357081356376,0.10186769732846505,0.00953151567712587,365.24232081911265,True,-1000.0
0.3992392321898806,-0.11532556104171424,0.1098923499368701,-0.0400184282931373,365.24232081911265,True,-500.0
0.5105447995922063,-0.14126904146900446,0.14749481902372685,-0.08427120515950909,365.24232081911265,True,0.0
0.6169002021919809,-0.18638593173432327,0.19008091394077634,-0.1219632490187657,365.24232081911265,True,500.0
0.7023564662162116,-0.24733347356350505,0.2263637106976627,-0.1512971194548756,365.24232081911265,True,1000.0
0.7654228436519692,-0.3194501971880006,0.25081728735311754,-0.17044380855622032,365.24232081911265,True,1500.0
0.7963624657040782,-0.39748917462492556,0.2619250468425671,-0.1790753702596294,365.24232081911265,True,2000.0
0.7939737353713099,-0.47696254907838365,0.25924796662703026,-0.17699848005886104,365.24232081911265,True,2500.0
0.7383177497576412,-0.5526204034765512,0.2417196354651009,-0.16324666330667673,365.24232081911265,True,3000.0
0.65643287539433,-0.6185531675861037,0.21013286751965107,-0.13759717086058001,365.24232081911265,True,3500.0
0.5661695787634358,-0.6693602932628072,0.1692552426072487,-0.10142866978787866,365.24232081911265,True,4000.0
0.4606366541602256,-0.7008177361501988,0.12845615711742203,-0.05550373130623513,365.24232081911265,True,4500.0
0.418281274787887,-0.7081509595546311,0.1149721992334302,-0.00021390542627900964,365.24232081911265,True,5000.0
