start_epoch,amplitude,mean,std,success
-10000,0.8111552660155894,-2.54917504907085,0.2311783871867769,True
-9591,0.979436587107557,-2.4904035148226757,0.2958989601663807,True
-9183,1.1685383918473349,-2.4104193786671306,0.36042180931108725,True
-8775,1.3343480265358494,-2.3115397240735396,0.4198958684494005,True
-8367,1.5227746072500281,-2.1960236615820743,0.4724783391152386,True
-7959,1.684189971728415,-2.066226139485717,0.5172125454427688,True
-7551,1.800436080104987,-1.9246066502195327,0.5529597022872051,True
-7142,1.9032762241776595,-1.7734621980429621,0.5793343569403755,True
-6734,1.9464696496180522,-1.61664825115689,0.5953495103229981,True
-6326,1.96801229948818,-1.4565734904872787,0.601800587088446,True
-5918,1.9642751794272044,-1.295730357889584,0.5989144693989643,True
-5510,1.9249086032287437,-1.1366849115701734,0.5865132674335656,True
-5102,1.855219100277452,-0.9822608131709554,0.5649761211158233,True
-4693,1.7458852352800136,-0.8347853310407007,0.5347309351058119,True
-4285,1.6299766874597026,-0.6970524278041357,0.4974800222654035,True
-3877,1.4800957478694563,-0.5704082088361305,0.45349571635218194,True
-3469,1.3144979467432136,-0.45683951140495876,0.40385645059593317,True
-3061,1.1431597834100966,-0.357899196025855,0.34964905057803564,True
-2653,0.9633241727902143,-0.27497230985802273,0.29263025270676113,True
-2244,0.8063860386724092,-0.20850585913469658,0.23545675179258663,True
-1836,0.6480594363649813,-0.1589792560427954,0.1801405338318189,True
-1428,0.5071149211521855,-0.12667328868058808,0.13212953959110382,True
-1020,0.3731222118065716,-0.11138627031644452,0.10248082205842407,True
-612,0.38042502790183585,-0.11245311266865657,0.10451653509570187,True
-204,0.4633978739802536,-0.12824358401901903,0.13050181969277075,True
204,0.5491414820937243,-0.15747901274227333,0.16505129938473048,True
612,0.6369361536655684,-0.1988340809613542,0.1989831932718078,True
1020,0.7088094316912772,-0.2500479690440137,0.22760641238015292,True
1428,0.7567439542994151,-0.30859201063034897,0.24814765896229946,True
1836,0.7950891110320952,-0.3714981400922745,0.2597342626947654,True
2244,0.8041552596509405,-0.43640100271314436,0.262509757458415,True
2653,0.7768251577104479,-0.5008351113434037,0.2553907631924197,True
3061,0.7302625232615583,-0.561332827150285,0.23851481595732477,True
3469,0.6606806045957683,-0.6148717511669273,0.2123442026218753,True
3877,0.5810524146691591,-0.6584479630537671,0.17974254371513484,True
4285,0.5066593222726397,-0.6898715419151611,0.14496429710595427,True
4693,0.4224012819219638,-0.7066597132967524,0.11789475772157074,True
5102,0.45175785127338486,-0.7062450902956227,0.1191105360123369,True
5510,0.6187019963331863,-0.6863032133367147,0.158187254218499,True
5918,0.7893417687519673,-0.6455545206009612,0.22011560180602274,True
6326,1.0056556128252763,-0.5830502390938601,0.293457250016506,True
6734,1.24999253428844,-0.49767525997290296,0.3733445097626876,True
7142,1.5094547078088685,-0.38866836123238313,0.4564931815789715,True
7551,1.7830409618502436,-0.2555702744207645,0.540162218023102,True
7959,2.0600635089522177,-0.09968646807640034,0.6215809851727169,True
8367,2.3271320960567747,0.0783546437317176,0.700235498850516,True
8775,2.578804522584795,0.27781370817609674,0.7750787322060977,True
9183,2.818506869589923,0.4976585320821075,0.8446095534430652,True
9591,3.026575717349917,0.735857956462122,0.9068492000579902,True
10000,3.204891754852016,0.9907445764917243,0.9613753211863019,True
