Model,n_harmonics,In-Sample R²,Test RMSE,Extrap 50k RMSE,BIC,Status
3-harmonic,3,0.9171994537981704,2.4475371786498963,0.9544900270576546,-56969.460973453424,Underfit
5-harmonic,5,0.9173499026570552,2.3039406403829976,0.981721292238538,-56970.72911548683,Underfit
7-harmonic,7,0.95822960608607,2.266176350297919,1.009800322328768,-72465.39275910263,Optimal
11-harmonic,11,0.9582302833960428,2.1330993684782005,1.0734379129784042,-72385.49839705181,Overfit
