amplitude,mean,std,drift_rate,eff_trop_year,success,year_length
355.6081677411212,3.2417674636703495,103.79715965653794,-2.704702249195151,361.22866894197955,True,360.0
355.6081677411212,3.2417674636703495,103.79715965653794,-2.704702249195151,361.73037542662115,True,360.5
358.8215704799401,-5.030379939745409,104.20162136990959,2.621032761801181,362.2320819112628,True,361.0
358.8215704799401,-5.030379939745409,104.20162136990959,2.621032761801181,362.7337883959044,True,361.5
354.8246957376093,0.9640536901666583,104.74428655671028,-2.2745994648942505,363.23549488054607,True,362.0
354.8246957376093,0.9640536901666583,104.74428655671028,-2.2745994648942505,363.73720136518773,True,362.5
353.2507958320075,3.408532567480406,105.01039044281494,1.572390600389815,364.23890784982933,True,363.0
353.2507958320075,3.408532567480406,105.01039044281494,1.572390600389815,364.740614334471,True,363.5
0.7963624657040782,-0.39748917462492556,0.2619250468425671,-0.1790753702596294,365.24232081911265,True,364.0
0.7963624657040782,-0.39748917462492556,0.2619250468425671,-0.1790753702596294,365.74402730375425,True,364.5
358.9904572998024,1.1390919516173237,105.0830004629256,1.5606384033591147,366.2457337883959,True,365.0
358.9904572998024,1.1390919516173237,105.0830004629256,1.5606384033591147,366.74744027303757,True,365.5
354.3054516763574,0.014561173862715588,104.76016409047766,0.2877520434917547,367.24914675767917,True,366.0
354.3054516763574,0.014561173862715588,104.76016409047766,0.2877520434917547,367.75085324232083,True,366.5
351.18988995553036,6.004977925252858,103.89993289911739,1.3419684680748698,368.25255972696243,True,367.0
351.18988995553036,6.004977925252858,103.89993289911739,1.3419684680748698,368.7542662116041,True,367.5
353.6041371245788,-2.268458920722039,103.91752223966294,-0.12715671343741647,369.25597269624575,True,368.0
353.6041371245788,-2.268458920722039,103.91752223966294,-0.12715671343741647,369.75767918088735,True,368.5
356.87427893890754,0.15506468888071565,104.2411174373311,-3.018893218046606,370.259385665529,True,369.0
356.87427893890754,0.15506468888071565,104.2411174373311,-3.018893218046606,370.76109215017067,True,369.5
355.4641633102891,2.5887142779506656,104.86447361619412,-0.7795858810601142,371.26279863481227,True,370.0
