n_harmonics,n_params,rmse_train,rmse_test,r2_train,r2_test,aic,bic
1,3,1.1788351386856566,1.1788351386856566,0.4361913178471405,0.4361913178471405,9680.174681545339,9705.04093140532
2,5,0.8397446750027405,0.8397446750027405,0.713898502577772,0.713898502577772,-10259.854630757234,-10218.410880990601
3,7,0.698899801495082,0.698899801495082,0.8018219969239598,0.8018219969239598,-21050.97608040373,-20992.954830730443
4,9,0.6231744494801499,0.6231744494801499,0.8424403921881927,0.8424403921881927,-27790.212509471992,-27715.61375989205
5,11,0.5734050357541267,0.5734050357541267,0.8666022147910171,0.8666022147910171,-32680.381066072005,-32589.20481658541
6,13,0.5375597038916449,0.5375597038916449,0.8827591318125,0.8827591318125,-36472.06835070267,-36364.31460130942
