amplitude,mean,std,drift_rate,eff_trop_year,success,correction_cycle
85.83818362456608,42.79501743141733,25.024970172740993,17.166952732014497,365.25951557093424,True,290.0
85.83818362456608,42.79501743141733,25.024970172740993,17.166952732014497,365.2573402417962,True,290.5
64.17177115385542,31.973994456604828,18.706536839461716,12.83254226759722,365.2551724137931,True,291.0
64.17177115385542,31.973994456604828,18.706536839461716,12.83254226759722,365.2530120481928,True,291.5
42.46844690608995,21.15795800359351,12.37471218056378,8.488961619565378,365.2508591065292,True,292.0
42.46844690608995,21.15795800359351,12.37471218056378,8.488961619565378,365.24871355060037,True,292.5
20.786416883487192,10.361280156615766,6.045374230967545,4.147084804951619,365.24657534246575,True,293.0
20.786416883487192,10.361280156615766,6.045374230967545,4.147084804951619,365.24444444444447,True,293.5
0.7963624657040782,-0.39748917462492556,0.2619250468425671,-0.1790753702596294,365.24232081911265,True,294.0
0.7963624657040782,-0.39748917462492556,0.2619250468425671,-0.1790753702596294,365.2402044293015,True,294.5
22.17244783332029,-11.09783120151455,6.522476848282412,-4.474302787920547,365.23809523809524,True,295.0
22.17244783332029,-11.09783120151455,6.522476848282412,-4.474302787920547,365.2359932088285,True,295.5
43.297786943898586,-21.719612446344517,12.717761405804614,-8.724182503911187,365.2338983050847,True,296.0
43.297786943898586,-21.719612446344517,12.717761405804614,-8.724182503911187,365.23181049069376,True,296.5
64.11155338155027,-32.245140520933575,18.829720006597935,-12.916780292579036,365.22972972972974,True,297.0
64.11155338155027,-32.245140520933575,18.829720006597935,-12.916780292579036,365.22765598650926,True,297.5
84.57971518363792,-42.66068477635812,24.846369556885328,-17.043797860568223,365.2255892255892,True,298.0
84.57971518363792,-42.66068477635812,24.846369556885328,-17.043797860568223,365.22352941176473,True,298.5
104.70812607965388,-52.95749207641876,30.762075233443454,-21.10130987650186,365.22147651006713,True,299.0
104.70812607965388,-52.95749207641876,30.762075233443454,-21.10130987650186,365.21943048576213,True,299.5
124.52602688890548,-63.131929194799206,36.577357549416654,-25.089663276569233,365.2173913043478,True,300.0
