tropical_year,cycle_years,annual_drift,residual,coupling_strength,top3_error,strong_alignments,predicted_amplitude,amplitude_raw,bounded_dynamically,calendar_acceptable_15deg,calendar_acceptable_5deg,calendar_acceptable_2deg,both_15deg,both_5deg,both_2deg
372.3499999999797,287.4070095340563,8.349999999979673,-7.083503401340286,5.714634178355104,0.1749893289386092,36,7112.043661954183,7112.043661954183,True,False,False,False,False,False,False
372.35999999997966,287.39929100871694,8.359999999979664,-7.093469387734835,5.68570059443349,0.1758798205060317,36,7122.1548849843775,7122.1548849843775,True,False,False,False,False,False,False
372.36999999997965,287.3915728979398,8.369999999979655,-7.103435374129384,5.657060050627398,0.17677026424513467,36,7132.2661002139075,7132.2661002139075,True,False,False,False,False,False,False
372.37999999997965,287.3838552016914,8.379999999979646,-7.113401360523932,5.628708117490608,0.1776606601597633,36,7142.377307643403,7142.377307643403,True,False,False,False,False,False,False
372.38999999997964,287.3761379199384,8.389999999979636,-7.1233673469184815,5.6006404543999295,0.17855100825377715,36,7152.488507273492,7152.488507273492,True,False,False,False,False,False,False
372.3999999999796,287.3684210526473,8.399999999979627,-7.13333333331303,5.5728528073403245,0.17944130853103504,36,7162.599699104805,7162.599699104805,True,False,False,False,False,False,False
372.4099999999796,287.3607045997848,8.409999999979618,-7.1432993197075785,5.545341006755923,0.18033156099538225,36,7172.710883137967,7172.710883137967,True,False,False,False,False,False,False
372.4199999999796,287.3529885613175,8.41999999997961,-7.153265306102128,5.518100965463572,0.1812217656506745,36,7182.822059373611,7182.822059373611,True,False,False,False,False,False,False
372.4299999999796,287.345272937212,8.4299999999796,-7.163231292496676,5.491128676629155,0.1821119225007619,36,7192.933227812361,7192.933227812361,True,False,False,False,False,False,False
372.4399999999796,287.33755772743496,8.439999999979591,-7.173197278891225,5.46442021180289,0.18300203154948572,36,7203.044388454845,7203.044388454845,True,False,False,False,False,False,False
372.4499999999796,287.3298429319529,8.449999999979582,-7.183163265285774,5.437971719010919,0.1838920928007114,36,7213.155541301694,7213.155541301694,True,False,False,False,False,False,False
372.4599999999796,287.3221285507326,8.459999999979573,-7.193129251680323,5.411779420905025,0.18478210625827163,36,7223.266686353531,7223.266686353531,True,False,False,False,False,False,False
372.46999999997956,287.31441458374064,8.469999999979564,-7.203095238074871,5.3858396129623065,0.1856720719260302,36,7233.377823610988,7233.377823610988,True,False,False,False,False,False,False
372.47999999997955,287.3067010309436,8.479999999979555,-7.2130612244694206,5.36014866173977,0.18656198980783958,36,7243.488953074694,7243.488953074694,True,False,False,False,False,False,False
372.48999999997955,287.29898789230816,8.489999999979545,-7.223027210863969,5.334703003177967,0.18745185990753077,36,7253.600074745273,7253.600074745273,True,False,False,False,False,False,False
372.49999999997954,287.291275167801,8.499999999979536,-7.2329931972585175,5.309499140951386,0.1883416822289596,37,7263.7111886233515,7263.7111886233515,True,False,False,False,False,False,False
372.5099999999795,287.28356285738874,8.509999999979527,-7.242959183653066,5.284533644867583,0.18923145677598527,37,7273.822294709563,7273.822294709563,True,False,False,False,False,False,False
372.5199999999795,287.27585096103803,8.519999999979518,-7.252925170047615,5.259803149311783,0.19012118355243857,37,7283.9333930045295,7283.9333930045295,True,False,False,False,False,False,False
372.5299999999795,287.2681394787155,8.529999999979509,-7.262891156442164,5.2353043517328155,0.19101086256217625,37,7294.044483508881,7294.044483508881,True,False,False,False,False,False,False
372.5399999999795,287.2604284103879,8.5399999999795,-7.272857142836712,5.2110340111740685,0.1919004938090388,37,7304.155566223244,7304.155566223244,True,False,False,False,False,False,False
372.5499999999795,287.2527177560217,8.549999999979491,-7.282823129231261,5.186988946843223,0.19279007729688633,37,7314.266641148248,7314.266641148248,True,False,False,False,False,False,False
372.5599999999795,287.2450075155838,8.559999999979482,-7.29278911562581,5.16316603672401,0.1936796130295458,37,7324.377708284516,7324.377708284516,True,False,False,False,False,False,False
372.5699999999795,287.2372976890407,8.569999999979473,-7.302755102020359,5.139562216223345,0.19456910101086788,37,7334.488767632678,7334.488767632678,True,False,False,False,False,False,False
372.57999999997946,287.22958827635915,8.579999999979464,-7.312721088414907,5.116174476857579,0.19545854124471004,37,7344.599819193361,7344.599819193361,True,False,False,False,False,False,False
372.58999999997945,287.2218792775058,8.589999999979455,-7.322687074809457,5.092999864975161,0.19634793373490048,37,7354.710862967192,7354.710862967192,True,False,False,False,False,False,False
372.59999999997945,287.2141706924474,8.599999999979445,-7.332653061204005,5.070035480511647,0.19723727848529457,37,7364.821898954798,7364.821898954798,True,False,False,False,False,False,False
372.60999999997944,287.20646252115057,8.609999999979436,-7.3426190475985535,5.047278475781274,0.1981265754997219,37,7374.932927156802,7374.932927156802,True,False,False,False,False,False,False
372.6199999999794,287.198754763582,8.619999999979427,-7.352585033993103,5.0247260542984105,0.19901582478203927,37,7385.0439475738385,7385.0439475738385,True,False,False,False,False,False,False
372.6299999999794,287.1910474197083,8.629999999979418,-7.362551020387651,5.002375469632817,0.19990502633609822,37,7395.154960206529,7395.154960206529,True,False,False,False,False,False,False
372.6399999999794,287.18334048949635,8.639999999979409,-7.3725170067822,4.980224024295463,0.2007941801657139,37,7405.265965055501,7405.265965055501,True,False,False,False,False,False,False
372.6499999999794,287.1756339729127,8.6499999999794,-7.382482993176749,4.958269068651175,0.20168328627474738,37,7415.3769621213805,7415.3769621213805,True,False,False,False,False,False,False
372.6599999999794,287.1679278699241,8.65999999997939,-7.392448979571298,4.936507999863822,0.2025723446670371,37,7425.487951404796,7425.487951404796,True,False,False,False,False,False,False
372.6699999999794,287.16022218049727,8.669999999979382,-7.402414965965846,4.914938260867002,0.20346135534642476,37,7435.598932906373,7435.598932906373,True,False,False,False,False,False,False
372.6799999999794,287.15251690459894,8.679999999979373,-7.412380952360396,4.893557339362734,0.20435031831674125,37,7445.709906626737,7445.709906626737,True,False,False,False,False,False,False
372.68999999997936,287.1448120421957,8.689999999979364,-7.422346938754944,4.872362766845164,0.20523923358184107,37,7455.820872566515,7455.820872566515,True,False,False,False,False,False,False
372.69999999997935,287.1371075932544,8.699999999979354,-7.432312925149493,4.851352117651611,0.20612810114555633,37,7465.931830726335,7465.931830726335,True,False,False,False,False,False,False
372.70999999997935,287.12940355774174,8.709999999979345,-7.442278911544042,4.8305230080362955,0.2070169210117312,37,7476.042781106821,7476.042781106821,True,False,False,False,False,False,False
372.71999999997934,287.1216999356244,8.719999999979336,-7.4522448979385905,4.809873095269308,0.20790569318420019,37,7486.1537237085995,7486.1537237085995,True,False,False,False,False,False,False
372.7299999999793,287.1139967268691,8.729999999979327,-7.462210884333139,4.789400076757714,0.2087944176668096,37,7496.264658532297,7496.264658532297,True,False,False,False,False,False,False
372.7399999999793,287.1062939314427,8.739999999979318,-7.472176870727687,4.769101689190524,0.20968309446337963,37,7506.375585578539,7506.375585578539,True,False,False,False,False,False,False
