trial,vernal_offset,correction_period,calendar_year,tropical_year,amplitude,coupling_strength,top3_error,bounded_90deg,bounded_strict,dynamically_bounded,both_strict
0,136.33260326043995,297.6057144512793,365.8559515344912,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
1,217.91168824772132,291.2481491235395,361.2479561626896,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
2,21.142434829224605,296.9294091661995,364.8089200939457,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
3,257.73841831776053,290.16467595436643,367.759278817296,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
4,303.0091212513535,291.69871288542623,361.4545997376568,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
5,66.7592415866499,292.4339379436763,364.19805145305793,365.24219,829.9923718546701,21.46015115307116,0.046597994248371834,False,False,True,False
6,157.22798678573014,292.32983312158433,364.89482315777906,365.24219,3388.3267938755694,21.46015115307116,0.046597994248371834,False,False,True,False
7,50.775765277343226,292.33715718828176,362.9308947463495,365.24219,4435.425478473572,21.46015115307116,0.046597994248371834,False,False,True,False
8,166.00947425500107,296.2814076911441,361.59739025726685,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
9,187.18133558255462,294.7393165508963,360.37160330176,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
10,221.14632609212356,291.36419298949835,360.5204127438822,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
11,345.3943355602133,297.72505626459645,366.46717878493166,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
12,110.87941197910693,290.7813769120511,365.4738642120973,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
13,160.21550772121486,290.97630587875824,363.96141528089015,365.24219,372.9391779902371,21.46015115307116,0.046597994248371834,False,False,True,False
14,12.517421685939496,297.27456321663027,362.0702398528001,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
15,241.15811150484944,292.4936886087153,364.1605441694225,365.24219,630.5841891196584,21.46015115307116,0.046597994248371834,False,False,True,False
16,199.00254168095378,291.4788356442042,367.7566770221165,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
17,282.1483477034457,297.5159915325135,367.1586188034212,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
18,217.635592287235,297.37499388018495,360.70794001641536,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
19,71.33776192056885,290.3618183112843,362.6026426461061,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
20,141.47853344697145,292.17079225419116,366.6299000732154,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
